Label	Runlength	Gen	Randomizer	PID	Thinning	Mu	Nodes	Param1	Param2	Param3	Independence-Rate
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	16	1.0	500	0.5	-	-	8.817635270541082e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	32	1.0	500	0.5	-	-	0.9130901803607214
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	64	1.0	500	0.5	-	-	0.9919519038076152
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	150	1.0	500	0.5	-	-	0.9914148296593186
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	300	1.0	500	0.5	-	-	0.9913346693386773
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	16	1.0	500	0.5	-	-	9.619238476953908e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	32	1.0	500	0.5	-	-	0.9113987975951904
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	64	1.0	500	0.5	-	-	0.991815631262525
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	150	1.0	500	0.5	-	-	0.9910380761523047
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	15	300	1.0	500	0.5	-	-	0.9912464929859719
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	16	1.0	500	0.5	-	-	6.412825651302605e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	32	1.0	500	0.5	-	-	0.9112464929859719
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	64	1.0	500	0.5	-	-	0.990997995991984
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	150	1.0	500	0.5	-	-	0.991118236472946
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	16	300	1.0	500	0.5	-	-	0.9917835671342685
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	16	1.0	500	0.5	-	-	0.00011222444889779559
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	32	1.0	500	0.5	-	-	0.9152865731462926
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	64	1.0	500	0.5	-	-	0.9919919839679359
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	150	1.0	500	0.5	-	-	0.9914468937875751
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	6	300	1.0	500	0.5	-	-	0.9915350701402805
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	4	1.0	500	0.5	-	-	0.0
